Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20152017","2015-2017","millones No","582.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20162018","2016-2018","millones No","581.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20172019","2017-2019","millones No","590.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20182020","2018-2020","millones No","633.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20192021","2019-2021","millones No","684.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210011","Número de personas subalimentadas (millones) (promedio de 3 años)","20202022","2020-2022","millones No","725.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2000","2000","millones No","781.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2001","2001","millones No","805.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2002","2002","millones No","827.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2003","2003","millones No","819.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2004","2004","millones No","820.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2005","2005","millones No","793.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2006","2006","millones No","746.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2007","2007","millones No","691","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2008","2008","millones No","663.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2009","2009","millones No","661.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2010","2010","millones No","597.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2011","2011","millones No","578.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2012","2012","millones No","580","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2013","2013","millones No","572.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2014","2014","millones No","563.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2015","2015","millones No","588.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2016","2016","millones No","586.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2017","2017","millones No","571.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2018","2018","millones No","586.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2019","2019","millones No","612.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2020","2020","millones No","701.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2021","2021","millones No","738.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210010","Número de personas subalimentadas (millones) (valor anual)","2022","2022","millones No","735.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20142016","2014-2016","millones No","575.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20142016","2014-2016","millones No","538","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20142016","2014-2016","millones No","613.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20152017","2015-2017","millones No","593.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20152017","2015-2017","millones No","560.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20152017","2015-2017","millones No","626.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20162018","2016-2018","millones No","636","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20162018","2016-2018","millones No","604","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20162018","2016-2018","millones No","668.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20172019","2017-2019","millones No","677.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20172019","2017-2019","millones No","645.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20172019","2017-2019","millones No","709.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20182020","2018-2020","millones No","753.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20182020","2018-2020","millones No","723.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20182020","2018-2020","millones No","782.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20192021","2019-2021","millones No","832.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20192021","2019-2021","millones No","805.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20192021","2019-2021","millones No","859.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20202022","2020-2022","millones No","892.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20202022","2020-2022","millones No","866.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071","Número de personas que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20202022","2020-2022","millones No","919","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2014","2014","millones No","570.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2014","2014","millones No","526.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2014","2014","millones No","615.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2015","2015","millones No","561.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2015","2015","millones No","525","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2015","2015","millones No","597.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2016","2016","millones No","594.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2016","2016","millones No","562.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2016","2016","millones No","627","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2017","2017","millones No","623.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2017","2017","millones No","594.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2017","2017","millones No","653.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2018","2018","millones No","689.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2018","2018","millones No","655.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2018","2018","millones No","723.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2019","2019","millones No","719.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2019","2019","millones No","688.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2019","2019","millones No","751.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2020","2020","millones No","850.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2020","2020","millones No","827.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2020","2020","millones No","873.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2021","2021","millones No","927.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2021","2021","millones No","899.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2021","2021","millones No","955","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2022","2022","millones No","900.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2022","2022","millones No","871.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070","Número de personas que padecen inseguridad alimentaria grave (millones) (valor anual)","2022","2022","millones No","928.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20142016","2014-2016","millones No","181.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20142016","2014-2016","millones No","167.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20142016","2014-2016","millones No","195.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20152017","2015-2017","millones No","189.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20152017","2015-2017","millones No","177.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20152017","2015-2017","millones No","202.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20162018","2016-2018","millones No","206","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20162018","2016-2018","millones No","193.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20162018","2016-2018","millones No","218.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20172019","2017-2019","millones No","219.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20172019","2017-2019","millones No","208.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20172019","2017-2019","millones No","231.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20182020","2018-2020","millones No","242.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20182020","2018-2020","millones No","231.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20182020","2018-2020","millones No","253","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20192021","2019-2021","millones No","260.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20192021","2019-2021","millones No","250.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20192021","2019-2021","millones No","269.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20202022","2020-2022","millones No","279.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20202022","2020-2022","millones No","270.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210071M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (promedio de 3 años)","20202022","2020-2022","millones No","288.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (valor anual)","2014","2014","millones No","177.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61321","Confidence interval: Lower bound","210070M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (valor anual)","2014","2014","millones No","162.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","61322","Confidence interval: Upper bound","210070M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (valor anual)","2014","2014","millones No","192.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","001","Mundo","6132","Valor","210070M","Número de hombres adultos que padecen inseguridad alimentaria grave (millones) (valor anual)","2015","2015","millones No","175.7","E","Valor estimado",""
